Ensembl_ID	Control_3D_R1	Control_3D_R2	Control_3D_R3	SP_3D_R1	SP_3D_R2	SP_3D_R3	SP_12D_R1	SP_12D_R2	SP_12D_R3
ENSG00000186827	1	1	1	0	0	0	2	2	1
ENSG00000186891	0	0	0	1	3	0	1	0	1
ENSG00000160072	16	9	10	17	8	12	11	10	13
ENSG00000260179	7	4	7	2	6	3	3	4	14
ENSG00000234396	1	2	4	0	1	0	4	0	3
ENSG00000225972	178	154	136	139	156	152	80	211	206
ENSG00000224315	1	2	1	6	1	2	0	1	2
ENSG00000198744	460	326	283	321	299	289	343	347	511
ENSG00000279928	0	6	5	3	2	2	2	2	7
ENSG00000228037	1	0	0	0	0	1	1	0	1
ENSG00000142611	12	7	14	54	43	57	31	37	64
ENSG00000225630	2578	2148	1993	1723	1843	1909	2268	2554	2755
ENSG00000131584	729	491	645	1214	1156	1172	1065	1252	1619
ENSG00000227589	0	0	0	0	0	0	0	1	3
ENSG00000237402	0	0	1	0	0	2	0	0	0
ENSG00000284616	0	0	0	0	0	0	0	0	0
ENSG00000169972	210	131	164	228	240	231	182	306	235
ENSG00000157911	522	388	438	335	410	327	340	445	451
ENSG00000269896	41	28	22	17	17	17	24	39	26
ENSG00000237973	2135	1771	1907	2078	2259	2090	1778	2006	3292
ENSG00000224051	425	276	374	372	337	375	374	512	477
ENSG00000228463	7	2	2	4	3	3	7	11	3
ENSG00000260972	0	0	0	0	0	0	0	0	0
ENSG00000157933	1122	799	988	886	890	766	700	974	937
ENSG00000162591	468	321	372	735	764	773	789	922	1210
ENSG00000224340	0	0	2	0	0	0	0	0	0
ENSG00000270035	0	0	0	0	0	1	1	0	3
ENSG00000169962	22	12	14	12	11	8	8	10	19
ENSG00000226545	2	0	0	3	2	0	2	1	3
ENSG00000233653	0	0	0	0	0	0	0	0	0
ENSG00000268663	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	0	0	0	0
ENSG00000116285	3004	2424	2313	1206	1239	1146	937	1186	1293
ENSG00000229280	0	0	0	0	0	0	0	0	0
ENSG00000142655	438	311	433	303	294	327	277	343	372
